id,genre,unique_id
1,Action,1%Action
1,Comedy,1%Comedy
1,Drama,1%Drama
1,Sci-Fi,1%Sci-Fi
1,Adventure,1%Adventure
5,Drama,5%Drama
5,Action,5%Action
5,Sci-Fi,5%Sci-Fi
5,Mystery,5%Mystery
6,Adventure,6%Adventure
6,Action,6%Action
6,Comedy,6%Comedy
6,Sci-Fi,6%Sci-Fi
6,Drama,6%Drama
7,Action,7%Action
7,Drama,7%Drama
7,Mystery,7%Mystery
7,Fantasy,7%Fantasy
8,Fantasy,8%Fantasy
8,Action,8%Action
8,Adventure,8%Adventure
15,Action,15%Action
15,Comedy,15%Comedy
16,Romance,16%Romance
16,Drama,16%Drama
16,Comedy,16%Comedy
17,Romance,17%Romance
17,Comedy,17%Comedy
17,Action,17%Action
18,Action,18%Action
18,Drama,18%Drama
18,Children,18%Children
19,Mystery,19%Mystery
19,Thriller,19%Thriller
19,Drama,19%Drama
19,Horror,19%Horror
19,Children,19%Children
20,Action,20%Action
20,Adventure,20%Adventure
20,Comedy,20%Comedy
21,Adventure,21%Adventure
21,Fantasy,21%Fantasy
21,Action,21%Action
21,Comedy,21%Comedy
21,Drama,21%Drama
22,Comedy,22%Comedy
22,Action,22%Action
22,Children,22%Children
23,Action,23%Action
24,Children,24%Children
24,Action,24%Action
24,Romance,24%Romance
24,Comedy,24%Comedy
25,Adventure,25%Adventure
25,Romance,25%Romance
25,Sci-Fi,25%Sci-Fi
25,Action,25%Action
25,Comedy,25%Comedy
26,Sci-Fi,26%Sci-Fi
26,Action,26%Action
26,Drama,26%Drama
26,Thriller,26%Thriller
27,Action,27%Action
27,Fantasy,27%Fantasy
28,Comedy,28%Comedy
28,Action,28%Action
29,Action,29%Action
29,Drama,29%Drama
29,Sci-Fi,29%Sci-Fi
29,Children,29%Children
29,Historical,29%Historical
30,Thriller,30%Thriller
30,Action,30%Action
30,Drama,30%Drama
30,Sci-Fi,30%Sci-Fi
31,Action,31%Action
31,Drama,31%Drama
31,Thriller,31%Thriller
31,Sci-Fi,31%Sci-Fi
32,Thriller,32%Thriller
32,Sci-Fi,32%Sci-Fi
32,Drama,32%Drama
32,Action,32%Action
33,Drama,33%Drama
33,Fantasy,33%Fantasy
33,Horror,33%Horror
33,Action,33%Action
33,Romance,33%Romance
33,Adventure,33%Adventure
33,Children,33%Children
43,Action,43%Action
43,Mystery,43%Mystery
43,Thriller,43%Thriller
43,Children,43%Children
43,Sci-Fi,43%Sci-Fi
44,Drama,44%Drama
44,Historical,44%Historical
44,Action,44%Action
44,Romance,44%Romance
45,Comedy,45%Comedy
45,Romance,45%Romance
45,Historical,45%Historical
45,Action,45%Action
45,Adventure,45%Adventure
46,Historical,46%Historical
46,Drama,46%Drama
46,Action,46%Action
47,Action,47%Action
47,Fantasy,47%Fantasy
47,Horror,47%Horror
47,Children,47%Children
47,Sci-Fi,47%Sci-Fi
47,Adventure,47%Adventure
48,Fantasy,48%Fantasy
48,Mystery,48%Mystery
48,Adventure,48%Adventure
