id,average_rating,title,imdbId
1,3.872469636,Toy Story (1995),114709
2,3.401869159,Jumanji (1995),113497
3,3.161016949,Grumpier Old Men (1995),113228
4,2.384615385,Waiting to Exhale (1995),114885
5,3.267857143,Father of the Bride Part II (1995),113041
6,3.884615385,Heat (1995),113277
7,3.283018868,Sabrina (1995),114319
8,3.8,Tom and Huck (1995),112302
9,3.15,Sudden Death (1995),114576
10,3.450819672,GoldenEye (1995),113189
11,3.68902439,"American President, The (1995)",112346
12,2.861111111,Dracula: Dead and Loving It (1995),112896
13,3.9375,Balto (1995),112453
14,3.451612903,Nixon (1995),113987
15,2.318181818,Cutthroat Island (1995),112760
16,3.948863636,Casino (1995),112641
17,3.924418605,Sense and Sensibility (1995),114388
18,3.288461538,Four Rooms (1995),113101
19,2.597826087,Ace Ventura: When Nature Calls (1995),112281
20,2.538461538,Money Train (1995),113845
21,3.536842105,Get Shorty (1995),113161
22,3.355263158,Copycat (1995),112722
23,3.090909091,Assassins (1995),112401
24,3.044117647,Powder (1995),114168
25,3.742574257,Leaving Las Vegas (1995),113627
26,4.1,Othello (1995),114057
27,3.142857143,Now and Then (1995),114011
28,4.083333333,Persuasion (1995),114117
29,4.025,"City of Lost Children, The (Cité des enfants perdus, La) (1995)",112682
30,4.05,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),115012
31,3.178571429,Dangerous Minds (1995),112792
32,3.923469388,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),114746
34,3.601351351,Babe (1995),112431
35,3.545454545,Carrington (1995),112637
36,3.9375,Dead Man Walking (1995),112818
37,2,Across the Sea of Time (1995),112286
38,2,It Takes Two (1995),113442
39,3.55,Clueless (1995),112697
40,3.916666667,"Cry, the Beloved Country (1995)",112749
41,4.02173913,Richard III (1995),114279
42,2.333333333,Dead Presidents (1995),112819
43,3.625,Restoration (1995),114272
44,2.697368421,Mortal Kombat (1995),113855
45,3.523255814,To Die For (1995),114681
46,3.166666667,How to Make an American Quilt (1995),113347
47,4.034825871,Seven (a.k.a. Se7en) (1995),114369
48,2.926229508,Pocahontas (1995),114148
49,4,When Night Is Falling (1995),114916
50,4.370646766,"Usual Suspects, The (1995)",114814
52,3.637254902,Mighty Aphrodite (1995),113819
53,5,Lamerica (1994),110299
54,3.666666667,"Big Green, The (1995)",112499
55,3.333333333,Georgia (1995),113158
57,3.142857143,Home for the Holidays (1995),113321
58,4,"Postman, The (Postino, Il) (1994)",110877
59,4,"Confessional, The (Confessionnal, Le) (1995)",112714
60,2.828125,"Indian in the Cupboard, The (1995)",113419
61,3.571428571,Eye for an Eye (1996),116260
62,3.689655172,Mr. Holland's Opus (1995),113862
63,2.833333333,Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996),116126
64,2.4,Two if by Sea (1996),118002
65,2.025,Bio-Dome (1996),115683
66,2,Lawnmower Man 2: Beyond Cyberspace (1996),116839
68,3.5,French Twist (Gazon maudit) (1995),113149
69,3.818181818,Friday (1995),113118
70,3.020833333,From Dusk Till Dawn (1996),116367
71,2.428571429,Fair Game (1995),113010
72,3.166666667,Kicking and Screaming (1995),113537
73,4.115384615,"Misérables, Les (1995)",113828
74,3.026315789,Bed of Roses (1996),115644
76,3.333333333,Screamers (1995),114367
77,4,Nico Icon (1995),113973
78,3.2,"Crossing Guard, The (1995)",112744
79,2.961538462,"Juror, The (1996)",116731
80,4.625,"White Balloon, The (Badkonake sefid) (1995)",112445
81,3.25,Things to Do in Denver When You're Dead (1995),114660
82,3.8,Antonia's Line (Antonia) (1995),112379
83,3,Once Upon a Time... When We Were Colored (1995),114039
84,4,Last Summer in the Hamptons (1995),113612
85,4.0625,Angels and Insects (1995),112365
86,3.764705882,White Squall (1996),118158
87,1.666666667,Dunston Checks In (1996),116151
88,2.891304348,Black Sheep (1996),115697
89,3.441176471,Nick of Time (1995),113972
92,3.541666667,Mary Reilly (1996),117002
93,2.227272727,Vampire in Brooklyn (1995),114825
94,3.568181818,Beautiful Girls (1996),115639
95,3.177419355,Broken Arrow (1996),115759
96,1,In the Bleak Midwinter (1995),113403
97,3.875,"Hate (Haine, La) (1995)",113247
98,3,Shopping (1994),111173
99,2.75,Heidi Fleiss: Hollywood Madam (1995),113283
100,3.428571429,City Hall (1996),115907
101,3.882352941,Bottle Rocket (1996),115734
102,2.590909091,Mr. Wrong (1996),117102
103,4,Unforgettable (1996),118040
104,3.292553191,Happy Gilmore (1996),116483
105,3.114583333,"Bridges of Madison County, The (1995)",112579
107,3.462962963,Muppet Treasure Island (1996),117110
108,4,Catwalk (1996),112646
110,3.945175439,Braveheart (1995),112573
111,4.224576271,Taxi Driver (1976),75314
112,3.295918367,Rumble in the Bronx (Hont faan kui) (1995),113326
113,3.2,Before and After (1996),115645
114,3,Margaret's Museum (1995),113774
116,4.75,Anne Frank Remembered (1995),112373
117,3,"Young Poisoner's Handbook, The (1995)",115033
118,2.8,If Lucy Fell (1996),116606
119,3,"Steal Big, Steal Little (1995)",114536
121,3.8,"Boys of St. Vincent, The (1992)",106473
122,3.052631579,Boomerang (1992),103859
123,4,Chungking Express (Chung Hing sam lam) (1994),109424
124,3,"Star Maker, The (Uomo delle stelle, L') (1995)",114808
125,3.714285714,Flirting With Disaster (1996),116324
126,2.7,"NeverEnding Story III, The (1994)",110647
129,3,Pie in the Sky (1996),114131
130,4.5,Angela (1995),112364
131,2,Frankie Starlight (1995),113107
132,2.875,Jade (1995),113451
135,3,Down Periscope (1996),116130
137,1,Man of the Year (1995),113756
140,3.47826087,Up Close and Personal (1996),118055
141,3.580645161,"Birdcage, The (1996)",115685
144,3.326923077,"Brothers McMullen, The (1995)",112585
145,3.279069767,Bad Boys (1995),112442
146,4.333333333,"Amazing Panda Adventure, The (1995)",112342
147,3.642857143,"Basketball Diaries, The (1995)",112461
148,4,"Awfully Big Adventure, An (1995)",112427
149,4.333333333,Amateur (1994),109093
150,3.9025,Apollo 13 (1995),112384
151,3.5625,Rob Roy (1995),114287
152,3.833333333,"Addiction, The (1995)",112288
153,2.782945736,Batman Forever (1995),112462
154,3.8125,Beauty of the Day (Belle de jour) (1967),61395
155,3.055555556,Beyond Rangoon (1995),112495
156,3.954545455,Blue in the Face (1995),112541
157,2.375,Canadian Bacon (1995),109370
158,2.870689655,Casper (1995),112642
159,3.9375,Clockers (1995),112688
160,2.341269841,Congo (1995),112715
161,3.83125,Crimson Tide (1995),112740
162,4.136363636,Crumb (1994),109508
163,3.515873016,Desperado (1995),112851
164,3.557692308,Devil in a Blue Dress (1995),112857
165,3.443661972,Die Hard: With a Vengeance (1995),112864
166,3,"Doom Generation, The (1995)",112887
167,4,Feast of July (1995),113044
168,3.11627907,First Knight (1995),113071
169,2.5625,Free Willy 2: The Adventure Home (1995),113114
170,3.288461538,Hackers (1995),113243
171,4.333333333,Jeffrey (1995),113464
172,2.572916667,Johnny Mnemonic (1995),113481
173,2.564285714,Judge Dredd (1995),113492
174,2.25,Jury Duty (1995),113500
175,3.956521739,Kids (1995),113540
176,3.777777778,Living in Oblivion (1995),113677
177,2.884615385,Lord of Illusions (1995),113690
178,4.7,Love & Human Remains (1993),107447
179,3.5,Mad Love (1995),113729
180,3.306818182,Mallrats (1995),113749
181,1.8,Mighty Morphin Power Rangers: The Movie (1995),113820
183,5,Mute Witness (1994),110604
184,4.5,Nadja (1994),110620
185,3.102941176,"Net, The (1995)",113957
186,2.875,Nine Months (1995),113986
187,2.833333333,Party Girl (1995),114095
188,3.125,"Prophecy, The (1995)",114194
189,4,Reckless (1995),114241
190,3.833333333,Safe (1995),114323
191,3,"Scarlet Letter, The (1995)",114345
193,2.314285714,Showgirls (1995),114436
194,4.291666667,Smoke (1995),114478
195,3.214285714,Something to Talk About (1995),114496
196,2.809090909,Species (1995),114508
198,3.441860465,Strange Days (1995),114558
199,3.333333333,"Umbrellas of Cherbourg, The (Parapluies de Cherbourg, Les) (1964)",58450
200,4,"Tie That Binds, The (1995)",114666
201,4,Three Wishes (1995),114663
202,3,Total Eclipse (1995),114702
203,3.304347826,"To Wong Foo, Thanks for Everything! Julie Newmar (1995)",114682
204,3,Under Siege 2: Dark Territory (1995),114781
205,4,Unstrung Heroes (1995),114798
206,3.6,Unzipped (1995),114805
207,3.375,"Walk in the Clouds, A (1995)",114887
208,2.752212389,Waterworld (1995),114898
209,2.6,White Man's Burden (1995),114928
211,3.333333333,"Browning Version, The (1994)",109340
213,4.222222222,Burnt by the Sun (Utomlyonnye solntsem) (1994),111579
214,3,Before the Rain (Pred dozhdot) (1994),110882
215,3.722222222,Before Sunrise (1995),112471
216,3.023809524,Billy Madison (1995),112508
217,2.714285714,"Babysitter, The (1995)",112438
218,3.333333333,Boys on the Side (1995),112571
219,4.25,"Cure, The (1995)",112757
220,3,Castle Freak (1995),112643
222,3.931818182,Circle of Friends (1995),112679
223,3.963302752,Clerks (1994),109445
224,3.6,Don Juan DeMarco (1995),112883
225,3.173076923,Disclosure (1994),109635
227,3.15625,Drop Zone (1994),109676
228,2,Destiny Turns on the Radio (1995),112854
229,4.083333333,Death and the Maiden (1994),109579
230,3.7,Dolores Claiborne (1995),109642
231,3.110759494,Dumb & Dumber (Dumb and Dumber) (1994),109686
232,4.208333333,Eat Drink Man Woman (Yin shi nan nu) (1994),111797
233,4.269230769,Exotica (1994),109759
234,2.75,Exit to Eden (1994),109758
235,3.903846154,Ed Wood (1994),109707
236,3.358333333,French Kiss (1995),113117
237,3.191176471,Forget Paris (1995),113097
238,3,Far From Home: The Adventures of Yellow Dog (1995),113028
239,2.933333333,"Goofy Movie, A (1995)",113198
240,3.4,Hideaway (1995),113303
241,3.5,Fluke (1995),113089
242,3.75,Farinelli: il castrato (1994),109771
243,4,Gordy (1995),113199
244,3,Gumby: The Movie (1995),113234
245,3,The Glass Shield (1994),109906
246,4.040983607,Hoop Dreams (1994),110057
247,3.651162791,Heavenly Creatures (1994),110005
248,3.153846154,Houseguest (1994),110066
249,3.375,Immortal Beloved (1994),110116
250,3.25,Heavyweights (Heavy Weights) (1995),110006
251,3,"Hunted, The (1995)",113360
252,3.06097561,I.Q. (1994),110099
253,3.396,Interview with the Vampire: The Vampire Chronicles (1994),110148
254,3,Jefferson in Paris (1995),113463
255,2.2,"Jerky Boys, The (1995)",110189
256,2.702380952,Junior (1994),110216
257,3.576923077,Just Cause (1995),113501
258,2.5,"Kid in King Arthur's Court, A (1995)",113538
259,3.7,Kiss of Death (1995),113552
260,4.221649485,Star Wars: Episode IV - A New Hope (1977),76759
261,3.715686275,Little Women (1994),110367
262,3.85,"Little Princess, A (1995)",113670
263,3,Ladybird Ladybird (1994),110296
264,4.5,"Enfer, L' (1994)",109731
265,3.879032258,Like Water for Chocolate (Como agua para chocolate) (1992),103994
266,3.48630137,Legends of the Fall (1994),110322
267,2.730769231,Major Payne (1995),110443
268,4.25,Little Odessa (1994),110365
269,3.666666667,My Crazy Life (Mi vida loca) (1993),107566
270,3.222222222,Love Affair (1994),110391
271,3.5,Losing Isaiah (1995),113691
272,4,"Madness of King George, The (1994)",110428
273,3.12962963,Mary Shelley's Frankenstein (Frankenstein) (1994),109836
274,2.666666667,Man of the House (1995),113755
275,2.8,Mixed Nuts (1994),110538
276,2.863636364,Milk Money (1994),110516
277,3.357142857,Miracle on 34th Street (1994),110527
278,3,Miami Rhapsody (1995),113808
279,2.875,My Family (1995),113896
280,4.113636364,Murder in the First (1995),113870
281,3.861111111,Nobody's Fool (1994),110684
282,3.284090909,Nell (1994),110638
283,3,New Jersey Drive (1995),113967
285,4,Beyond Bedlam (1993),106402
287,3.2,Nina Takes a Lover (1994),110671
288,3.336448598,Natural Born Killers (1994),110632
289,3.464285714,Only You (1994),110737
290,3.9375,Once Were Warriors (1994),110729
291,2,Poison Ivy II (1996),114151
292,3.309090909,Outbreak (1995),114069
293,4.071969697,Léon: The Professional (a.k.a. The Professional) (Léon) (1994),110413
294,3.333333333,"Perez Family, The (1995)",114113
295,3,"Pyromaniac's Love Story, A (1995)",114210
296,4.25617284,Pulp Fiction (1994),110912
299,3.75,Priest (1994),110889
300,3.75,Quiz Show (1994),110932
301,5,Picture Bride (Bijo photo) (1994),114129
302,3.714285714,"Queen Margot (Reine Margot, La) (1994)",110963
303,3.1875,"Quick and the Dead, The (1995)",114214
304,3.333333333,Roommates (1995),114296
305,2.75,Ready to Wear (Pret-A-Porter) (1994),110907
306,4.171875,Three Colors: Red (Trois couleurs: Rouge) (1994),111495
307,4.14516129,Three Colors: Blue (Trois couleurs: Bleu) (1993),108394
308,4.159090909,Three Colors: White (Trzy kolory: Bialy) (1994),111507
309,5,"Red Firecracker, Green Firecracker (Pao Da Shuang Deng) (1994)",110769
312,3.6,Stuart Saves His Family (1995),114571
313,2.714285714,"Swan Princess, The (1994)",111333
314,3.941176471,"Secret of Roan Inish, The (1994)",111112
315,2.909090909,"Specialist, The (1994)",111255
316,3.368965517,Stargate (1994),111282
317,2.964285714,"Santa Clause, The (1994)",111070
318,4.487138264,"Shawshank Redemption, The (1994)",111161
319,3.973684211,Shallow Grave (1994),111149
320,2.75,Suture (1993),108260
321,3.642857143,Strawberry and Chocolate (Fresa y chocolate) (1993),106966
322,3.642857143,Swimming with Sharks (1995),114594
324,3.333333333,"Sum of Us, The (1994)",111309
325,3,National Lampoon's Senior Trip (1995),113936
326,4.071428571,To Live (Huozhe) (1994),110081
327,2.75,Tank Girl (1995),114614
328,3.625,Tales from the Crypt Presents: Demon Knight (1995),114608
329,3.350877193,Star Trek: Generations (1994),111280
330,2.7,Tales from the Hood (1995),114609
331,3,Tom & Viv (1994),111454
332,3.2,Village of the Damned (1995),114852
333,3.32,Tommy Boy (1995),114694
334,3.071428571,Vanya on 42nd Street (1994),111590
335,3,Underneath (1995),114788
336,3,"Walking Dead, The (1995)",114888
337,3.795454545,What's Eating Gilbert Grape (1993),108550
338,2.8,Virtuosity (1995),114857
339,3.440594059,While You Were Sleeping (1995),114924
340,3,"War, The (1994)",111667
341,4.5,Double Happiness (1994),109655
342,3.4375,Muriel's Wedding (1994),110598
343,3,"Baby-Sitters Club, The (1995)",112435
344,2.871428571,Ace Ventura: Pet Detective (1994),109040
345,3.75,"Adventures of Priscilla, Queen of the Desert, The (1994)",109045
346,3,Backbeat (1993),106339
347,3.857142857,Bitter Moon (1992),104779
348,3.9375,Bullets Over Broadway (1994),109348
349,3.786956522,Clear and Present Danger (1994),109444
350,3.328571429,"Client, The (1994)",109446
351,3.192307692,"Corrina, Corrina (1994)",109484
352,3.357142857,Crooklyn (1994),109504
353,3.589552239,"Crow, The (1994)",109506
354,3.5,Cobb (1994),109450
355,2.205128205,"Flintstones, The (1994)",109813
356,4.054252199,Forrest Gump (1994),109830
357,3.68442623,Four Weddings and a Funeral (1994),109831
358,2.428571429,Higher Learning (1995),113305
360,2.5,I Love Trouble (1994),110093
361,3.38,It Could Happen to You (1994),110167
362,3.45,"Jungle Book, The (1994)",110213
363,4.5,"Wonderful, Horrible Life of Leni Riefenstahl, The (Macht der Bilder: Leni Riefenstahl, Die) (1993)",107472
364,3.7775,"Lion King, The (1994)",110357
365,3,Little Buddha (1993),107426
366,3.272727273,"Wes Craven's New Nightmare (Nightmare on Elm Street Part 7: Freddy's Finale, A) (1994)",111686
367,3.070063694,"Mask, The (1994)",110475
368,3.535211268,Maverick (1994),110478
369,3.055555556,Mrs. Parker and the Vicious Circle (1994),110588
370,3.052238806,Naked Gun 33 1/3: The Final Insult (1994),110622
371,3.25,"Paper, The (1994)",110771
372,3.058823529,Reality Bites (1994),110950
373,4.138888889,Red Rock West (1992),105226
374,2.1,Richie Rich (1994),110989
375,3.666666667,Safe Passage (1994),111054
376,3.425531915,"River Wild, The (1994)",110997
377,3.566666667,Speed (1994),111257
378,3.25,Speechless (1994),111256
379,3.261904762,Timecop (1994),111438
380,3.515151515,True Lies (1994),111503
381,3.137931034,When a Man Loves a Woman (1994),111693
382,3.105263158,Wolf (1994),111742
383,3.115384615,Wyatt Earp (1994),111756
384,3.25,Bad Company (1995),112443
387,3.666666667,"Low Down Dirty Shame, A (1994)",110399
388,3.666666667,Boys Life (1995),112570
389,4,"Colonel Chabert, Le (1994)",109454
390,4.1,Faster Pussycat! Kill! Kill! (1965),59170
391,3,Jason's Lyric (1994),110186
392,2.666666667,"Secret Adventures of Tom Thumb, The (1993)",108069
393,2.1,Street Fighter (1994),111301
401,4,Mirage (1995),113827
405,2.3125,Highlander III: The Sorcerer (a.k.a. Highlander: The Final Dimension) (1994),110027
407,3.05,In the Mouth of Madness (1995),113409
408,3,8 Seconds (1994),109021
409,2.5,Above the Rim (1994),109035
410,3.150684932,Addams Family Values (1993),106220
412,3.54,"Age of Innocence, The (1993)",106226
413,2.307692308,Airheads (1994),109068
414,2.5,"Air Up There, The (1994)",109067
415,2.833333333,Another Stakeout (1993),106292
416,3.25,Bad Girls (1994),109198
417,3.615384615,Barcelona (1994),109219
418,3,Being Human (1993),106379
419,2.6,"Beverly Hillbillies, The (1993)",106400
420,2.631578947,Beverly Hills Cop III (1994),109254
421,3,Black Beauty (1994),109279
422,3.722222222,Blink (1994),109297
423,3.392857143,Blown Away (1994),109303
424,3,Blue Chips (1994),109305
425,3.875,Blue Sky (1994),109306
426,3.166666667,Body Snatchers (1993),106452
427,2.428571429,Boxing Helena (1993),106471
428,3.717391304,"Bronx Tale, A (1993)",106489
429,2.555555556,Cabin Boy (1994),109361
431,3.671875,Carlito's Way (1993),106519
432,2.650793651,City Slickers II: The Legend of Curly's Gold (1994),109439
433,2.857142857,Clean Slate (1994),109443
434,3.08490566,Cliffhanger (1993),106582
435,2.463636364,Coneheads (1993),106598
436,2.2,Color of Night (1994),109456
437,2.75,Cops and Robbersons (1994),109480
438,3,"Cowboy Way, The (1994)",109493
439,1,Dangerous Game (1993),106660
440,3.561111111,Dave (1993),106673
441,3.662162162,Dazed and Confused (1993),106677
442,2.968421053,Demolition Man (1993),106697
443,2.666666667,"Endless Summer 2, The (1994)",109729
444,3,Even Cowgirls Get the Blues (1993),106834
445,3.111111111,Fatal Instinct (1993),106873
446,4,Farewell My Concubine (Ba wang bie ji) (1993),106332
447,4,"Favor, The (1994)",109783
448,3.590909091,Fearless (1993),106881
449,3.5,Fear of a Black Hat (1994),106880
450,3.4375,With Honors (1994),111732
451,3.428571429,Flesh and Bone (1993),106926
452,4,Widows' Peak (1994),111712
453,2.4,For Love or Money (1993),106941
454,3.472727273,"Firm, The (1993)",106918
455,2.838709677,Free Willy (1993),106965
456,3.333333333,Fresh (1994),109842
457,3.953051643,"Fugitive, The (1993)",106977
458,3.75,Geronimo: An American Legend (1993),107004
459,3.5,"Getaway, The (1994)",109890
460,2.5,Getting Even with Dad (1994),109891
461,3.3,Go Fish (1994),109913
463,3.428571429,Guilty as Sin (1993),107057
464,3.111111111,Hard Target (1993),107076
465,3.5,Heaven & Earth (1993),107096
466,3.169491525,Hot Shots! Part Deux (1993),107144
467,3.333333333,Live Nude Girls (1995),113674
468,3.303030303,"Englishman Who Went Up a Hill But Came Down a Mountain, The (1995)",112966
469,3.125,"House of the Spirits, The (1993)",107151
470,2,House Party 3 (1994),110064
471,3.87755102,"Hudsucker Proxy, The (1994)",110074
472,3.5,I'll Do Anything (1994),110097
473,1,In the Army Now (1994),110123
474,3.8625,In the Line of Fire (1993),107206
475,4.209677419,In the Name of the Father (1993),107207
476,4,"Inkwell, The (1994)",110137
