id,genres,unique_id
1,Adventure,1Adventure
1,Children,1Children
1,Comedy,1Comedy
1,Fantasy,1Fantasy
1,(no genres listed),1Animation
2,Children,2Children
2,Fantasy,2Fantasy
2,Adventure,2Adventure
3,Comedy,3Comedy
3,Romance,3Romance
4,Comedy,4Comedy
4,Romance,4Romance
4,Drama,4Drama
5,Comedy,5Comedy
6,Thriller,6Thriller
6,Mystery,6Crime
6,Action,6Action
7,Comedy,7Comedy
7,Romance,7Romance
8,Children,8Children
8,Adventure,8Adventure
9,Action,9Action
10,Adventure,10Adventure
10,Thriller,10Thriller
10,Action,10Action
11,Drama,11Drama
11,Romance,11Romance
11,Comedy,11Comedy
12,Horror,12Horror
12,Comedy,12Comedy
13,Children,13Children
13,Adventure,13Adventure
13,(no genres listed),13Animation
14,Drama,14Drama
15,Adventure,15Adventure
15,Romance,15Romance
15,Action,15Action
16,Drama,16Drama
16,Mystery,16Crime
17,Romance,17Romance
17,Drama,17Drama
18,Comedy,18Comedy
19,Comedy,19Comedy
20,Thriller,20Thriller
20,Comedy,20Comedy
20,Mystery,20Crime
20,Drama,20Drama
20,Action,20Action
21,Comedy,21Comedy
21,Thriller,21Thriller
21,Mystery,21Crime
22,Mystery,22Mystery
22,Drama,22Drama
22,Thriller,22Thriller
22,Mystery,22Crime
22,Horror,22Horror
23,Action,23Action
23,Thriller,23Thriller
23,Mystery,23Crime
24,Drama,24Drama
24,Sci-Fi,24Sci-Fi
25,Romance,25Romance
25,Drama,25Drama
26,Drama,26Drama
27,Drama,27Drama
27,Children,27Children
28,Drama,28Drama
28,Romance,28Romance
29,Sci-Fi,29Sci-Fi
29,Mystery,29Mystery
29,Adventure,29Adventure
29,Fantasy,29Fantasy
29,Drama,29Drama
30,Drama,30Drama
30,Mystery,30Crime
31,Drama,31Drama
32,Sci-Fi,32Sci-Fi
32,Mystery,32Mystery
32,Thriller,32Thriller
34,Children,34Children
34,Drama,34Drama
35,Romance,35Romance
35,Drama,35Drama
36,Drama,36Drama
36,Mystery,36Crime
37,(no genres listed),37IMAX
37,Historical,37Documentary
38,Children,38Children
38,Comedy,38Comedy
39,Comedy,39Comedy
39,Romance,39Romance
40,Drama,40Drama
41,Drama,41Drama
41,Action,41War
42,Action,42Action
42,Mystery,42Crime
42,Drama,42Drama
43,Drama,43Drama
44,Adventure,44Adventure
44,Action,44Action
44,Fantasy,44Fantasy
45,Thriller,45Thriller
45,Comedy,45Comedy
45,Drama,45Drama
46,Drama,46Drama
46,Romance,46Romance
47,Mystery,47Mystery
47,Thriller,47Thriller
48,(no genres listed),48Animation
48,Romance,48Romance
48,Children,48Children
48,Musical,48Musical
48,Drama,48Drama
49,Drama,49Drama
49,Romance,49Romance
50,Thriller,50Thriller
50,Mystery,50Mystery
50,Mystery,50Crime
52,Comedy,52Comedy
52,Romance,52Romance
52,Drama,52Drama
53,Adventure,53Adventure
53,Drama,53Drama
54,Comedy,54Comedy
54,Children,54Children
55,Drama,55Drama
57,Drama,57Drama
58,Drama,58Drama
58,Comedy,58Comedy
58,Romance,58Romance
59,Drama,59Drama
59,Mystery,59Mystery
60,Children,60Children
60,Adventure,60Adventure
60,Fantasy,60Fantasy
61,Drama,61Drama
61,Thriller,61Thriller
62,Drama,62Drama
63,Mystery,63Crime
63,Comedy,63Comedy
64,Romance,64Romance
64,Comedy,64Comedy
65,Comedy,65Comedy
66,Thriller,66Thriller
66,Sci-Fi,66Sci-Fi
66,Action,66Action
68,Romance,68Romance
68,Comedy,68Comedy
69,Comedy,69Comedy
70,Action,70Action
70,Comedy,70Comedy
70,Horror,70Horror
70,Thriller,70Thriller
71,Action,71Action
72,Comedy,72Comedy
72,Drama,72Drama
73,Drama,73Drama
73,Action,73War
74,Romance,74Romance
74,Drama,74Drama
76,Action,76Action
76,Thriller,76Thriller
76,Sci-Fi,76Sci-Fi
77,Historical,77Documentary
78,Action,78Action
78,Drama,78Drama
78,Mystery,78Crime
78,Thriller,78Thriller
79,Thriller,79Thriller
79,Drama,79Drama
80,Drama,80Drama
80,Children,80Children
81,Mystery,81Crime
81,Drama,81Drama
81,Romance,81Romance
82,Comedy,82Comedy
82,Drama,82Drama
83,Drama,83Drama
83,Romance,83Romance
84,Drama,84Drama
84,Comedy,84Comedy
85,Romance,85Romance
85,Drama,85Drama
86,Drama,86Drama
86,Action,86Action
86,Adventure,86Adventure
87,Comedy,87Comedy
87,Children,87Children
88,Comedy,88Comedy
89,Thriller,89Thriller
89,Action,89Action
92,Thriller,92Thriller
92,Drama,92Drama
92,Horror,92Horror
93,Comedy,93Comedy
93,Horror,93Horror
93,Romance,93Romance
94,Drama,94Drama
94,Comedy,94Comedy
94,Romance,94Romance
95,Action,95Action
95,Adventure,95Adventure
95,Thriller,95Thriller
96,Comedy,96Comedy
96,Drama,96Drama
97,Mystery,97Crime
97,Drama,97Drama
98,Action,98Action
98,Thriller,98Thriller
99,Historical,99Documentary
100,Drama,100Drama
100,Thriller,100Thriller
101,Adventure,101Adventure
101,Mystery,101Crime
101,Romance,101Romance
101,Comedy,101Comedy
102,Comedy,102Comedy
103,Mystery,103Mystery
103,Sci-Fi,103Sci-Fi
103,Thriller,103Thriller
104,Comedy,104Comedy
105,Drama,105Drama
105,Romance,105Romance
107,Comedy,107Comedy
107,Adventure,107Adventure
107,Musical,107Musical
107,Children,107Children
108,Historical,108Documentary
110,Action,110Action
110,Action,110War
110,Drama,110Drama
111,Drama,111Drama
111,Thriller,111Thriller
111,Mystery,111Crime
112,Adventure,112Adventure
112,Action,112Action
112,Comedy,112Comedy
112,Mystery,112Crime
113,Mystery,113Mystery
113,Drama,113Drama
114,Drama,114Drama
116,Historical,116Documentary
117,Drama,117Drama
117,Mystery,117Crime
118,Romance,118Romance
118,Comedy,118Comedy
119,Comedy,119Comedy
121,Drama,121Drama
122,Comedy,122Comedy
122,Romance,122Romance
123,Romance,123Romance
123,Drama,123Drama
123,Mystery,123Mystery
124,Drama,124Drama
125,Comedy,125Comedy
126,Adventure,126Adventure
126,Fantasy,126Fantasy
126,Children,126Children
129,Comedy,129Comedy
